Authors,Editors,Translators,Description,Link,Genders,Name,Year,Written,lat_written,lon_written,6_lat_written,6_lon_written,7_lat_written,7_lon_written,8_lat_written,8_lon_written,Rewritten,lat_rewritten,lon_rewritten,6_lat_rewritten,6_lon_rewritten,7_lat_rewritten,7_lon_rewritten,8_lat_rewritten,8_lon_rewritten,Published 1,lat_pub1,lon_pub1,6_lat_pub1,6_lon_pub1,7_lat_pub1,7_lon_pub1,8_lat_pub1,8_lon_pub1,Published 2,lat_pub2,lon_pub2,6_lat_pub2,6_lon_pub2,7_lat_pub2,7_lon_pub2,8_lat_pub2,8_lon_pub2,Publisher,Language,Genre 1 (book or script),Genre 2 (quanitity of plays translated),Genre 3: other details
Wolfgang Swaczynna,,,"Since circa 1970, theatre director, actor and translator Wolfgang Swaczynna (b.1935) has translated all Shakespeare’s plays, as well as plays by Marlowe, Moliere, Stoppard. His texts are distributed by theatre script publisher Jussenhoven & Fischer (http://www.jussenhoven-fischer.de/katalogs/uebersetzer/). Swaczynna’s work is not available through the book trade. Some of Swaczynna’s scripts are still used in productions, e.g. Hamlet, Munich Kammerspiele, 2005. Unlike most such theatre scripts, this “Othello” has a translator’s preface. Swaczynna states that he based his work on the Folio text, hence the names ‘Aemilia’, ‘Rodorigo’, and ‘Iago’ (not the usual German ‘Jago’), and follows the 1622 Quarto’s ‘subtle punctuation’.",http://www.delightedbeauty.org/vvv/Visualise?CorpusName=Othello%2C%20Act%201%20Scene%203&NameIfVersion=Swaczynna,m,"Die Tragödie von Othello, dem Mohren von Venedig",1972,Berlin,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,,,,,,,,,,Cologne,50.937531,6.960279,50.937531,6.960279,50.937531,6.960279,50.937531,6.960279,,,,,,,,,,Jussenhover & Fischer,,Script,Complete works,
"E.S.Lauterbach, Gleisberg",,,"E. S. Lauterbach was the pen-name of Erich Selbmann (1926-2006), from the town of Lauterbach. He was a prominent press and television journalist in East Germany (German Democratic Republic). By 1989 (when the regime collapsed), he had risen to be deputy chair of the state television committee and head of its drama section. He wrote several books, screenplays and theatre scripts, including at least 5 translations of Shakespeare plays. These were not published as books but licensed by theatre publishers and distributed as typescripts and photocopies. Whether they were performed is not currently known. The title pages of his translations credit Benita Gleisberg as collaborator. On ‘Twelfth Night’ the credit says that she ‘collaborated on the translation and made final corrections’ (http//gateway-bayern.de/BV022413334). Benita Gleisman (otherwise obscure) is the only woman who has translated Othello into German - apart from Hedwig Schwarz in 1941 (q.v.).",http://www.delightedbeauty.org/vvv/Visualise?CorpusName=Othello%2C%20Act%201%20Scene%203&NameIfVersion=Lauterbach,"m, f","Othello, der Mohr von Venedig",1973,Berlin,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,,,,,,,,,,Berlin,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,,,,,,,,,,Henschel,,Script,<10 plays,
Balz Engler,,,"This is a didactic prose translation (compare Bolte). Balz Engler (1944-) is a leading German Shakespeare specialist. He taught as Professor of English Literature at the University of Basel (Switzerland), 1980-2007. He published a monograph on Rudolf Alexander Schröder (q.v.) as Shakespeare translator, and instigated the online HyperHamlet project. Engler’s Othello was the first volume to be published of the still ongoing series “Shakespeare Englisch-deutsche Studienausgabe” (English-German study edition), under the patronage of the Deutsche Shakespeare-Gesellschaft. So far 28 plays have appeared in this series. Each volume is a full critical edition with a specially-edited English text and a German prose translation on facing pages. Footnotes (in German) elucidate both texts, and other apparatus is provided for students and teachers based on the latest scholarship. Unlike the Bolte/Hamblock edition, a plethora of notes impedes any student who might want to read the German text instead of rather than as well as the English.",http://www.delightedbeauty.org/vvv/Visualise?CorpusName=Othello%2C%20Act%201%20Scene%203&NameIfVersion=Engler,m,Othello: Englisch-deutsche Studienausgabe,1976,Basel,47.557421,7.592573,47.377420999,6.9425730,47.6574209,7.572573,47.557421,7.592573,,,,,,,,,,Munich,48.136607,11.577085,48.136607,11.577085,48.136607,11.577085,48.136607,11.577085,,,,,,,,,,A. Franke,,Book,Complete Works,Study edition
Horst Laube,,,"Horst Laube (1939-1997) was a prominent theatre director, actor, playwright, and novelist, as well as translator of two plays by Shakespeare and others by Goldoni and de Musset: all scripts distributed by Verlag der Autoren. He translated Othello for a celebrated production at Schauspiel Frankfurt (dir. Peter Palitzsch, 1978), for which a 260-page ‘programme book’ was published. The book includes readings on psychology and politics from the work of Marxist and postmodernist theorists such as Bataille, Caudwell, Foucault, Lyotard. In a two-page article, Laube writes that his translation ‘of course’ emphasises different elements than others. Baudissin’s is ‘a melodious adaptation’ [‘Nachdichtung’] and Erich Fried’s translation is ‘very beautiful (too beautiful?)’ Laube sees the play as a struggle between language systems, which previous translations did not differentiate enough. For example, his translation accentuates the vulgarity of Iago and Roderigo, and Othello’s language increasingly resembles Iago’s. Laube’s text is still in use: e.g. a Theater für Niedersachsen production, 2010",http://www.delightedbeauty.org/vvv/Visualise?CorpusName=Othello%2C%20Act%201%20Scene%203&NameIfVersion=Laube,m,Othello der Mohr von Venedig,1978,Frankfurt a.M.,50.110922,8.682127,50.36735209,9.3305292967,50.297352103000000,9.3005292966,50.1309219,8.90212699,,,,,,,,,,Frankfurt a.M.,50.110922,8.682127,50.36735209,9.3305292967,50.297352103000000,9.3005292966,50.1309219,8.90212699,,,,,,,,,,Verlag der Autoren,,Script,<10 plays,
Reinhold Rüdiger,,,"This is a script written by the director of a production of Othello in 1983 in Hannover. Reinhold Rüdiger (1926-98) was artistic director of the Landesbühne (state theatre) Hannover for 30 years, and translated 10 plays including 5 by Shakespeare (scripts distributed by theatre publisher Felix Bloch Erben). In a short preface, Rüdiger explains his decision to base his work on the translation by Bodenstedt (q.v.). He rejects Baudissin (q.v.) because “unfortunately Schlegel did not translate Othello”. He rejects Eschenburg’s (q.v.) prose version. He rejects recent blank verse versions because they translate line by line and so “often come to a bad German sentence construction”; his verse translation (he writes) often turns one line of Shakespeare into one and a half or even two lines (or a metrically long line). Where Iago is conventionally translated “Jago” (2 syllables), Rüdiger hs “I-a-go” (3 syllables). In place of the conventional Act and Scene divisions he presents the play in 12 scenes. (Cf. Engel’s script.) Whether Rüdiger’s Othello script has been used by other productions is not known. The script was typed manually, and includes revisions using 2 different typewriter fonts. On the last page, the translator dated its completion to the day and named the writing location, a picturesque village outside Hannover: “Mariensee, den 23. Oktober 1983”.",http://www.delightedbeauty.org/vvv/Visualise?CorpusName=Othello%2C%20Act%201%20Scene%203&NameIfVersion=R%C3%BCdiger,m,"Othello, der Mohr von Venedig",1983,Hannover,52.375892,9.73201,52.375892,9.73201,52.375892,9.73201,52.375892,9.73201,,,,,,,,,,Berlin,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,,,,,,,,,,Felix Bloch,,Script,<10 plays,
"Hanno Bolte, Dieter Hamblock",,,"A modern didactic prose translation (cf. Engler). Hanno Bolte and Dieter Hamblock (b.1935) edited bilingual texts of 4 Shakespeare plays for the publisher Reclam in the 1970s and 1980s. Reclam editions are very popular with students for their cheap prices and small format. An English text is printed with Bolte and Hamblock’s prose version on facing pages. The translation is meant to be an aid to comprehension, though some students may read it instead of (rather than as well as) the English text. Quite a few subsequent translations show signs of being influenced by this text. Hamblock retired in 2005 from the post of Professor of English at Ruhr-Universität Bochum in 2005 . Less is known about Bolte.",http://www.delightedbeauty.org/vvv/Visualise?CorpusName=Othello%2C%20Act%201%20Scene%203&NameIfVersion=Bolte%20and%20Hamblock,"m, m",Othello: Englisch-Deutsch,1985,Bochum,51.481845,7.216236,51.481845,7.216236,51.481845,7.216236,51.481845,7.216236,,,,,,,,,,Stuttgart,48.775418,9.181759,48.82541799,9.181759,48.785418,9.181759,48.775418,9.181759,,,,,,,,,,Reclam,,Book,Complete works,Study edition
Frank Günther,,,"Frank Günther is the most celebrated living Shakespeare translator in the German-speaking world. His play translations are very frequently used as performance scripts. He is reputedly close [as at Sept 2012] to becoming the first person to single-handedly translate all Shakespeare’s works (plays, poems, collaborations) into German. His translations began appearing in the 1970s, when he was mainly working as a theatre director. They are published in an inexpensive paperback series, and also – this makes them unique – in a costly bibliophile edition, which began appearing in 2000. English and German texts are printed on facing pages. Select scholarly apparatus is provided in endnotes and appended material, including short essays by Günther himself and others. Annotations are discreetly presented (no numbers cluttering the main texts) so ‘ordinary’ readers are not put off, but students can learn a lot from the appended matter. (Cf. Schaller.) Günther’s work is effectively the measure of other German Shakespeare translators’ – for now. Günther's 'Othello' was premiered in Hildesheim (1992-3), and published in 1995, coinciding with a dramatic upsurge in racist violence in newly unified Germany. In Günther's afterword to the translation he discusses the difficulty of finding an adequate - neither racist nor antiquated - translation for ""Moor"": he concludes that the play's subtitle is untranslatable, and uses ""Schwarze[r]"" (""Black [man]"") within the text.",http://www.delightedbeauty.org/vvv/Visualise?CorpusName=Othello%2C%20Act%201%20Scene%203&NameIfVersion=G%C3%BCnther,m,Othello. Zweisprachige Ausgabe,1992,Rot an der Rot,48.01373,10.031711,47.61881297,10.305929679,47.82881297,10.00592968,48.01373,10.031711,,,,,,,,,,Munich,48.136607,11.577085,48.136607,11.577085,48.136607,11.577085,48.136607,11.577085,,,,,,,,,,DTV,,Book,Complete works,
Hermann Motschach,,,"Hermann Motschach (? - ?), from Bamberg, is/was an actor and a prolific translator, adaptor, and dramatist for stage and radio. According to one online source, since 1980 he has written 220 radio plays. Motschach’s translations of 24 of Shakespeare’s plays are distributed by a theatrical script publisher. The translations seem to have been done over several decades. His ‘Merchant of Venice’ was staged in Bamberg in 1969. The publisher tells us that his ‘Othello’ was written in 1992 and premiered in 1993 in Cottbus.",http://www.delightedbeauty.org/vvv/Visualise?CorpusName=Othello%2C%20Act%201%20Scene%203&NameIfVersion=Motschach,m,Othello,1992,Bamberg,49.898814,10.902764,49.898814,10.902764,49.898814,10.902764,49.898814,10.902764,,,,,,,,,,Berlin,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,,,,,,,,,,Drei Masken,,Script,Complete works,
Werner Buhss,,,"Werner Buhss (b.1949) is a prolific dramatist and director for theatre and radio, who began his career in the German Democratic Republic (1949-89). A theatre script agency distributes 12 of Buhss’s own scripts and 34 of his translations including 20 of Shakespeare’s plays, and 14 by Russian dramatists. His Othello, which premiered in Braunschweig in 1996, is a popular choice for directors, having been used by at least one production in most recent years. These productions usually advertise the play using the one-word title ‘Othello’, rather than the full title which Buhss gave to his script: ‘Othello, Venedigs Neger’ – ‘Othello, Venice’s Negro’ (where ‘Neger’ can also be translated ‘Nigger’, or metaphorically: ‘dupe’).",http://www.delightedbeauty.org/vvv/Visualise?CorpusName=Othello%2C%20Act%201%20Scene%203&NameIfVersion=Buhss,m,"Othello, Venedigs Neger",1996,Berlin,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,,,,,,,,,,Berlin,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,,,,,,,,,,Henschel,,Script,>10 plays,
Baudissin,Ruediger Wenig,,"Wolf Graf Baudissin (1789-1878) translated 15 of Shakespeare’s plays for the so-called ‘Schlegel-Tieck’ edition (1825-33), including ‘Othello’ (1832). This edition has never been out of print. Even 180 years later, it is the default Shakespeare for German-language readers, students, and theatres. Generations of editors have ‘improved’ and ‘corrected’ the texts. The most easily accessed ‘Othello’ e-text is based on a 1958 print edition of 'Schlegel-Tieck'. This e-text was created around the year 2000 by ‘Rod Andriz’, a pseudonym of slam poet and media designer/consultant Ruediger Wenig of Darmstadt. In 1997-2007, Wenig built a very extensive site devoted to Shakespeare, including translations of all the plays: william-shakespeare.de. The site still functions, but the Guest Book is closed. Wenig/Andriz took most of the texts from the German-language site of Project Gutenberg, but he scanned several texts himself from printed books, including ‘Othello’, and contributed these texts to Project Gutenberg. He scanned a common, popular 1950s edition, applied Optical Character Recognition software, checked the output against the pages, and also checked the texts against the English texts in Project Gutenberg, making many small revisions and additions to speech prefixes and stage directions, but not to speeches. On his own site, additions are marked using font colour.",http://www.delightedbeauty.org/vvv/Visualise?CorpusName=Othello%2C%20Act%201%20Scene%203&NameIfVersion=Baudissin%20ed%20Wenig,"m, m","Othello, der Mohr von Venedig",2000,Dresden,51.050409,13.737262,51.050409,13.737262,51.050409,13.737262,51.050409,13.737262,Darmstadt,49.877648,8.651762,50.0145773185,7.99728710699,49.92457731859,8.157287107,49.817648,8.461762,online,,,,,,,,,,,,,,,,,,Gutenberg Project,,Book,Complete works,
Lukas Bärfuss,,,"Lukas Bärfuss (b.1971) is a prominent Swiss dramatist and novelist, some of whose plays, such as ‘Our Parents’ Sexual Neuroses’ (2003), have been translated into a dozen languages. His adaptation of ‘Othello’, subtitled ‘Kurze Fassung’ (‘Short Version’), not only cuts scenes and speeches but reduces each speech to a compact form of words. It premiered in Hamburg in 2001 and was later also used as the basis of the script for a film. ‘Othello, ein Blue-Movie’ (dir. Lene Markusen, 2006) was made by members of the ‘400asa’ collective which Bärfuss co-founded in Zurich in 1998. The ‘Blue-Movie’ scenario is a mockumentary about a megalomaniac film director who is making a film out of ‘Othello, Kurze Fassung’; the on-set conflict culminates in the ‘Othello’ actor killing the ‘Desdemona’ actor. A superficially similar set-up (play-within-a-play), but a very different approach to language, features in Alvaro García de Zúniga’s ‘RadioOthello’ (staged in Zurich, 2008).",http://www.delightedbeauty.org/vvv/Visualise?CorpusName=Othello%2C%20Act%201%20Scene%203&NameIfVersion=B%C3%A4rfu%C3%9F,m,Othello – Kurze Fassung ,2001,Zurich,47.36865,8.539183,47.238650,8.539183,47.36865,8.539183,47.36865,8.539183,,,,,,,,,,Berlin,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,,,,,,,,,,Hartmann & Stauffacher,,Script,<10 plays,
"Feridun Zaimoglu, Günter Senkel",,,"Feridun Zaimoglu and Günther Senkel were commissioned to write an adaptation of Othello by the Munich Kammerspiele for a production directed by Luk Perceval in 2003. Zaimoglu was already a prominent novelist and well-known author of scabrous monologues based on interviews with disaffected youths of Turkish background (like him). This Othello production, with a white Othello and live jazz played on a black grand piano straddling an upturned white one, was a scandalous success. It ran for 6 years in Munich and then transferred to Hamburg, meanwhile touring to several international festivals. It opened the international programme at the 2006 ‘Complete Works’ festival at the Royal Shakespeare Company, Startford-on-Avon, to renewed scandal. The reduced-cast adaptation ends with the murder or attempted murder of Desdemona, changes some key plot points and adds some original material, and it features extremely brutal, present-day ‘street’ language in Iago’s part. The script, back-translated into English (by Conny Loder and others), was projected on surtitle displays for the Stratford shows, intensifying the assault on audiences’ sense of decorum. Zaimoglu and Senkel have since worked on scripts for numerous productions with Perceval and other directors, including adaptations of several other Shakespeare plays, and works by Moliere, Wedekind, and Lessing. Their Othello is the only adaptation they have also published in book form.",http://www.delightedbeauty.org/vvv/Visualise?CorpusName=Othello%2C%20Act%201%20Scene%203&NameIfVersion=Zaimoglu,"m, m",Othello,2003,Kiel,54.323293,10.122765,54.323293,10.122765,54.323293,10.122765,54.323293,10.122765,,,,,,,,,,Münster,51.951481,7.625539,51.951481,7.625539,51.951481,7.625539,51.951481,7.625539,,,,,,,,,,Monsenstein und Vannerdat,,Book,<10 plays,
Michael Wachsmann,,,"Michael Wachsmann (b.1946) was artistic director at the Munich Kammerspiele (1983-2001), translated several Shakespeare plays for productions directed by Dieter Dorn, and has since translated more. A script agency distributes 13 Shakespeare translations by Wachsmann, including this shortened version of ‘Othello’ (for a production in Mannheim, 2005), which abbreviates the dialogue throughout and concludes abruptly with Othello stabbing himself.",http://www.delightedbeauty.org/vvv/Visualise?CorpusName=Othello%2C%20Act%201%20Scene%203&NameIfVersion=Wachsmann,m,"Othello, der Mohr von Venedig",2005,Mannheim,49.487459,8.466039,49.430433312,7.503458984,49.440433312,7.853458984,49.48745899,8.206039,,,,,,,,,,Berlin,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,,,,,,,,,,Gustav Kiepenheuer,,Script,Complete works,
Oliver Karbus,,,"Oliver Karbus (b.1956) is an actor, director, poet, and translator/adaptor, whose licensed scripts include 4 Shakespeare plays. His ‘Othello’ is a condensed version. It was completed in 2005 and premiered in 2010 in South Tirol, the German-speaking enclave in Italy.",http://www.delightedbeauty.org/vvv/Visualise?CorpusName=Othello%2C%20Act%201%20Scene%203&NameIfVersion=Karbus,m,Othello,2006,Landshut,48.539225,12.145922,49.13552025,12.90183906,48.8150364,12.532921874,48.539225,12.145922,,,,,,,,,,Vienna,48.208174,16.373819,48.764773807,16.956027343,48.4347738072,16.8060273437,48.3881739989,16.5938190,,,,,,,,,,Thomas Sessler,,Script,>10 plays,
Hans Zimmer,,,"Hans Zimmer (b.1946) is a dramatist and drama teacher, writing for the stage and radio, specialising in work for young people. His play ‘Othello steht im Sturm’ (‘Othello is under attack’) has been performed several times in German schools and youth clubs in recent years. The play is set in a football club. ‘O’ is a coloured player, a star; ‘Mona’ loves him; ‘Jojo’ and Rodrigo’ are jealous plotters. They convince O that Mona has deceived him with his best friend ‘Mike’; O ultimately kills Mona. The modern dialogue alternates with selections from Baudissin’s (q.v.) translation, sometimes adapted. Some of this ‘ancestral’ dialogue is given to ‘old’ character-roles which alternate with the ‘new; some is given to a chorus. In the passage which corresponds to Shakespeare Act 1 Scene 3, Mona’s parents, ‘Herr Brabant’ and ‘Frau Brabant’ (for Brabantio) demand that O be thrown out of the team, because of his relationship with Mona, but team manager ‘Prinz’ (for the Duke of Venice) resists. There are superficial parallels with the film adaptation ‘O’ (dir. Tim Blake Nelson, 2001), set in a high school in the American South, where the only African-American student is the star of the basketball team.",http://www.delightedbeauty.org/vvv/Visualise?CorpusName=Othello%2C%20Act%201%20Scene%203&NameIfVersion=Zimmer,m,Othello steht im Sturm,2007,Hannover,52.375892,9.73201,52.375892,9.73201,52.375892,9.73201,52.375892,9.73201,,,,,,,,,,Weinheim,49.544964,8.66027,49.65496399,9.35026999,49.641818589,9.119132809,49.5849639,8.970269990000000,,,,,,,,,,Deutscher Theaterverlag Weinheim,,Script,>10 plays,For children
Christian Leonard,,,Bio-bibliographic details: see Excel spreadsheet at the foot of the 'German' page at: www.delightedbeauty.org,http://www.delightedbeauty.org/vvv/Visualise?CorpusName=Othello%2C%20Act%201%20Scene%203&NameIfVersion=Leonard,m,Othello!,2010,Berlin,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,,,,,,,,,,Berlin,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,,,,,,,,,,Shakespeare Company Berlin,,Script,<10 plays,
